"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 18 23:10:57 UZT 2023","Fri Aug 18 23:11:03 UZT 2023","6282","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","ErrorWithIncorrectValueNumberOfAttemptsInTestActivity","Редактирование контрольной: отображение ошибки валидации для поля 'Количество попыток сдачи' с значением > 20",""
"passed","Fri Aug 18 23:11:25 UZT 2023","Fri Aug 18 23:11:29 UZT 2023","4008","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","ErrorWithNegativeValueInTimeLimit","Редактирование контрольной: ошибка валидации при отрицательным значением в поле 'Временной лимит'",""
"passed","Fri Aug 18 23:08:39 UZT 2023","Fri Aug 18 23:09:04 UZT 2023","25504","Активность","Контрольная","Редактирование контрольной","TestActivityAddingTests","CheckAddFileToTestActivity","Редактирование контрольной: можно загрузить материал типа файл с компьютера",""
"passed","Fri Aug 18 23:17:48 UZT 2023","Fri Aug 18 23:18:03 UZT 2023","15397","Активность","Контрольная","Страница контрольной","TestCommandActivityTests","AddCommandToControlTypeActivityInCommandMode","Страница командной контрольной: можно добавить команду",""
"passed","Fri Aug 18 22:54:57 UZT 2023","Fri Aug 18 22:55:07 UZT 2023","9841","","Материал","Конструктор теста","TestSettingsValidationTests","ClearTagsFromTest","Конструктор теста: можно удалить теги знаний",""
"passed","Fri Aug 18 22:53:47 UZT 2023","Fri Aug 18 22:53:57 UZT 2023","10462","","Материал","Конструктор теста","TestQuestionsValidationTests","CheckAndUncheckAnswerOptionInTest","Конструктор теста: возможность отметить вариант ответа как “верный”",""
"passed","Fri Aug 18 22:52:19 UZT 2023","Fri Aug 18 22:52:26 UZT 2023","7352","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckRemoveAnswerFromMultipleChoiceQuestion","Конструктор теста: можно удалить вариант ответа из вопроса с типом ответа 'Выбор из вариантов'",""
"passed","Fri Aug 18 23:15:13 UZT 2023","Fri Aug 18 23:15:20 UZT 2023","7120","Активность","Контрольная","Прохождение теста","TestActivityStatusWithOneAttemptTests","NoStatusWithOneIncompleteAttempt","Страница командной контрольной: отсутствует статус и иконка для одной незавершенной попыткой",""
"passed","Fri Aug 18 23:15:29 UZT 2023","Fri Aug 18 23:15:38 UZT 2023","9168","Активность","Контрольная","Прохождение теста","TestActivityStatusWithOneAttemptTests","StatusIsPendingReviewForAttemptsNeedsReview","Страница командной контрольной: статус ожидает проверки, если в попытке есть хотя бы один вопрос, требующий проверки",""
"passed","Fri Aug 18 22:47:13 UZT 2023","Fri Aug 18 22:47:31 UZT 2023","17760","","Материал","Конструктор теста","TestAddingQuestionsTests","CheckAddFileTestQuestion","Конструктор теста: можно добавить вопрос с типом ответа “Файл”",""
"passed","Fri Aug 18 22:53:29 UZT 2023","Fri Aug 18 22:53:37 UZT 2023","7715","","Материал","Конструктор теста","TestQuestionsValidationTests","CheckRemoveCommentInTestQuestion","Конструктор теста: можно удалить комментария к вопросу",""
"passed","Fri Aug 18 22:53:19 UZT 2023","Fri Aug 18 22:53:29 UZT 2023","9944","","Материал","Конструктор теста","TestQuestionsValidationTests","CheckEditCommentInTestQuestion","Конструктор теста: можно изменить комментарий к вопросу",""
"passed","Fri Aug 18 23:13:46 UZT 2023","Fri Aug 18 23:13:54 UZT 2023","8079","Активность","Контрольная","Результат прохождения теста","TestActivityResultTests","TeacherCanLeaveCommentOnAnswer","Результат прохождения: преподаватель может оставить комментарий к ответу, если включена опция подробная информация о результатах",""
